epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5792,0.7425,3.10464,1.0924,0.00902,0.84394,0.25089,0.2011,0.57322,3.1417,0.91322,0.0003375,0.0003375,0.0003375
2,67.0341,0.84005,2.43236,1.12631,0.44084,0.35634,0.34168,0.26909,0.68076,2.51548,0.98707,0.000673888,0.000673888,0.000673888
3,99.9827,0.81034,2.18384,1.09508,0.26332,0.65652,0.37582,0.31673,0.71118,2.14148,0.98726,0.000996415,0.000996415,0.000996415
4,132.364,0.8613,2.11482,1.15404,0.45447,0.59283,0.41502,0.3306,0.79548,2.26987,1.08678,0.00117575,0.00117575,0.00117575
5,167.855,0.82649,1.94651,1.11939,0.62278,0.51433,0.5758,0.47004,0.79851,1.9813,1.10354,0.001151,0.001151,0.001151
6,202.224,0.84475,1.83027,1.1126,0.4515,0.55249,0.60739,0.5015,0.75083,2.69933,1.04167,0.00112625,0.00112625,0.00112625
7,236.02,0.79103,1.81395,1.05381,0.49596,0.5716,0.5753,0.47517,0.7411,2.75718,1.03938,0.0011015,0.0011015,0.0011015
8,271.169,0.87747,1.77551,1.13296,0.56735,0.67197,0.56173,0.45639,0.7527,1.77581,1.11189,0.00107675,0.00107675,0.00107675
9,306.375,0.786,1.78139,1.09448,0.53164,0.63656,0.63101,0.47357,0.82848,1.89803,1.13103,0.001052,0.001052,0.001052
10,340.356,0.83804,1.75509,1.10513,0.63919,0.6895,0.72565,0.573,0.7422,1.46181,1.07002,0.00102725,0.00102725,0.00102725
11,373.644,0.80801,1.68208,1.10324,0.57866,0.66439,0.71004,0.55271,0.81301,1.4448,1.12473,0.0010025,0.0010025,0.0010025
12,407.117,0.79593,1.53794,1.09788,0.51452,0.69077,0.68026,0.55236,0.74257,1.61136,1.07915,0.00097775,0.00097775,0.00097775
13,441.216,0.76632,1.49716,1.08734,0.70609,0.64627,0.70046,0.56207,0.75141,1.50251,1.03853,0.000953,0.000953,0.000953
14,475.887,0.7965,1.438,1.06033,0.57693,0.71174,0.68914,0.55889,0.79076,1.40349,1.0836,0.00092825,0.00092825,0.00092825
15,509.595,0.73666,1.46124,1.04617,0.61617,0.74697,0.72682,0.57923,0.78753,1.38629,1.10125,0.0009035,0.0009035,0.0009035
16,543.139,0.69261,1.29335,1.01854,0.79669,0.7225,0.79922,0.63949,0.7543,1.29396,1.0778,0.00087875,0.00087875,0.00087875
17,578.083,0.72687,1.32232,1.0349,0.70251,0.73622,0.81792,0.67346,0.68825,1.39598,1.03846,0.000854,0.000854,0.000854
18,612.72,0.73225,1.32374,1.06325,0.80397,0.74965,0.81765,0.67362,0.6873,1.26196,1.05535,0.00082925,0.00082925,0.00082925
19,646.418,0.73607,1.3297,1.04605,0.80102,0.7742,0.83425,0.69637,0.68409,1.23226,1.0528,0.0008045,0.0008045,0.0008045
20,680.327,0.7001,1.16935,1.02612,0.78258,0.84021,0.88727,0.7222,0.66982,1.21736,1.04143,0.00077975,0.00077975,0.00077975
21,713.8,0.6674,1.09046,0.99433,0.90346,0.76063,0.87299,0.72703,0.65407,1.09979,1.03755,0.000755,0.000755,0.000755
22,748.076,0.70877,1.12493,1.04165,0.84885,0.81979,0.85271,0.70736,0.68089,1.10264,1.04506,0.00073025,0.00073025,0.00073025
23,783.78,0.68626,1.09426,1.01411,0.84776,0.75581,0.80703,0.66718,0.67717,1.11127,1.04603,0.0007055,0.0007055,0.0007055
24,823.259,0.67671,1.1348,1.01267,0.74087,0.74802,0.73524,0.62569,0.67302,1.15695,1.04599,0.00068075,0.00068075,0.00068075
25,860.04,0.67894,1.10626,1.01805,0.69436,0.79621,0.73454,0.60972,0.68752,1.19323,1.05029,0.000656,0.000656,0.000656
26,895.527,0.69163,1.13944,1.03113,0.79917,0.82986,0.79024,0.65347,0.67119,1.20296,1.04405,0.00063125,0.00063125,0.00063125
27,929.506,0.65161,1.01774,0.9947,0.7866,0.81191,0.78076,0.65375,0.67152,1.22529,1.05163,0.0006065,0.0006065,0.0006065
28,963.178,0.63992,1.00146,0.99102,0.78241,0.82754,0.76757,0.64279,0.66309,1.26477,1.05077,0.00058175,0.00058175,0.00058175
29,996.574,0.60432,1.02663,0.99037,0.74028,0.66136,0.69895,0.58405,0.67723,1.40652,1.05423,0.000557,0.000557,0.000557
30,1030.55,0.62478,0.94875,1.00425,0.75676,0.70909,0.72465,0.59508,0.69871,1.35776,1.04689,0.00053225,0.00053225,0.00053225
31,1065.38,0.6307,0.95678,0.98047,0.79398,0.72496,0.75155,0.61968,0.69586,1.31085,1.04687,0.0005075,0.0005075,0.0005075
